Open,High,Low,Close,Adj Close,Volume,rsi_14,rsi_21,bb_bbm,bb_bbh,bb_bbl,bb_bbhi,bb_bbli
40699.60546875,41060.52734375,35791.42578125,36457.31640625,36457.31640625,43011992031,15.327895944306022,16.603958455193478,,,,0.0,0.0
36471.58984375,36688.8125,34349.25,35030.25,35030.25,39714385405,13.41420184098142,14.817018209647145,,,,0.0,0.0
35047.359375,36433.3125,34784.96875,36276.8046875,36276.8046875,26017975951,22.514624328224073,22.469902944207945,,,,0.0,0.0
36275.734375,37247.51953125,33184.05859375,36654.328125,36654.328125,41856658597,25.082736914690656,24.6233348088943,,,,0.0,0.0
36654.8046875,37444.5703125,35779.4296875,36954.00390625,36954.00390625,26428189594,27.146857277295624,26.328848814405035,,,,0.0,0.0
36950.515625,38825.41015625,36374.90625,36852.12109375,36852.12109375,31324598034,26.875745986188875,26.11789127154688,,,,0.0,0.0
36841.87890625,37148.32421875,35629.28125,37138.234375,37138.234375,25041426629,29.01956672430721,27.823139346302682,,,,0.0,0.0
37128.4453125,37952.87890625,36211.109375,37784.33203125,37784.33203125,22238830523,33.74346533597303,31.568174163588566,,,,0.0,0.0
37780.71484375,38576.26171875,37406.47265625,38138.1796875,38138.1796875,17194183075,36.245956193024,33.55086349528146,,,,0.0,0.0
38151.91796875,38266.33984375,37437.7109375,37917.6015625,37917.6015625,14643548444,35.34964335091637,32.92644352746035,,,,0.0,0.0
37920.28125,38647.26171875,36733.57421875,38483.125,38483.125,20734730465,39.48164087856268,36.12659556496638,,,,0.0,0.0
38481.765625,39115.1328125,38113.6640625,38743.2734375,38743.2734375,20288500328,41.338991724979024,37.5654089227895,,,,0.0,0.0
38743.71484375,38834.6171875,36832.73046875,36952.984375,36952.984375,19155189416,33.67865065105306,32.30681352279747,,,,0.0,0.0
36944.8046875,37154.6015625,36375.5390625,37154.6015625,37154.6015625,18591534769,35.136385217174166,33.40908934946373,,,,0.0,0.0
37149.265625,41527.78515625,37093.62890625,41500.875,41500.875,29412210792,57.051617812569525,51.34283238254658,,,,0.0,0.0
41501.48046875,41847.1640625,41038.09765625,41441.1640625,41441.1640625,19652846215,56.76784624337822,51.144141460771905,,,,0.0,0.0
41441.12109375,42500.78515625,41244.90625,42412.43359375,42412.43359375,16142097334,60.232793003702625,54.1731034464916,,,,0.0,0.0
42406.78125,44401.86328125,41748.15625,43840.28515625,43840.28515625,28641855926,64.71056868373789,58.175671673972474,,,,0.0,0.0
43854.65234375,45293.8671875,42807.8359375,44118.4453125,44118.4453125,33079398868,65.52496995069826,58.90977630102862,,,,0.0,0.0
44096.703125,44727.80078125,43232.96875,44338.796875,44338.796875,23245887300,66.19060634448812,59.50104288887791,38909.4578125,44576.07555204225,33242.84007295774,0.0,0.0
44347.80078125,45661.171875,43402.80859375,43565.11328125,43565.11328125,32142048537,61.68702348616648,56.503556832191,39264.84765625,45158.723708172336,33370.971604327664,0.0,0.0
43571.12890625,43810.83203125,42114.5390625,42407.9375,42407.9375,26954925781,55.59428448341287,52.36102388484661,39633.73203125,45341.8763425004,33925.5877199996,0.0,0.0
42412.30078125,42992.55078125,41852.57421875,42244.46875,42244.46875,18152390304,54.77129953205543,51.79774208603803,39932.115234375,45529.98789629885,34334.24257245115,0.0,0.0
42236.56640625,42693.0546875,41950.94140625,42197.515625,42197.515625,14741589015,54.52164174439866,51.63023209131647,40209.274609375,45677.961762760606,34740.5874559894,0.0,0.0
42157.3984375,42775.77734375,41681.95703125,42586.91796875,42586.91796875,20827783012,56.300680812704265,52.95507989253618,40490.9203125,45838.86590796008,35142.97471703992,0.0,0.0
42586.46484375,44667.21875,42491.03515625,44575.203125,44575.203125,22721659051,64.03651671494355,58.9788601145953,40877.0744140625,46233.58105542945,35520.567772695555,0.0,0.0
44578.27734375,44578.27734375,43456.69140625,43961.859375,43961.859375,19792547657,60.47977211316916,56.63020582250872,41218.2556640625,46446.44268262906,35990.068645495936,0.0,0.0
43937.0703125,44132.97265625,40249.37109375,40538.01171875,40538.01171875,26246662813,45.340461779711866,45.91346799369787,41355.9396484375,46355.168793488134,36356.71050338687,0.0,0.0
40552.1328125,40929.15234375,39637.6171875,40030.9765625,40030.9765625,23310007704,43.59989876825496,44.601049081796816,41450.5794921875,46271.03329314862,36630.12569122638,0.0,0.0
40026.0234375,40418.87890625,39713.05859375,40122.15625,40122.15625,13736557863,44.01610790428708,44.89845219207125,41560.8072265625,46148.26069065821,36973.353762466795,0.0,0.0
40118.1015625,40119.890625,38112.8125,38431.37890625,38431.37890625,18340576452,38.362659462690516,40.64954474645294,41558.219921875,46152.66670614801,36963.773137601995,0.0,0.0
38423.2109375,39394.4375,36950.4765625,37075.28125,37075.28125,29280402798,34.53168864616522,37.64904425715852,41474.8203125,46324.11741201044,36625.52321298956,0.0,0.0
37068.76953125,38359.85546875,36488.93359375,38286.02734375,38286.02734375,25493150450,40.26705131851928,41.68433350014636,41541.4724609375,46172.04395851009,36910.900963364904,0.0,0.0
38285.28125,39122.39453125,37201.81640625,37296.5703125,37296.5703125,21849073843,37.38466747844872,39.491200104535984,41548.5708984375,46152.58028558282,36944.56151129218,0.0,0.0
37278.56640625,38968.83984375,34459.21875,38332.609375,38332.609375,46383802093,42.061313568147256,42.7999006254297,41390.1576171875,46203.114098449005,36577.20113592599,0.0,0.0
38333.74609375,39630.32421875,38111.34375,39214.21875,39214.21875,26545599159,45.77286295149365,45.464357662106714,41278.8103515625,46184.05029426899,36373.570408856,0.0,0.0
